Object: earth
Mass: object.mass
Position History (x,y,z) au

X = -0.97  Y = 0.21  Z = -0.0
X = -0.97  Y = 0.21  Z = -0.0
X = -0.97  Y = 0.2  Z = -0.0
X = -0.97  Y = 0.19  Z = -0.0
X = -0.98  Y = 0.19  Z = -0.0
X = -0.98  Y = 0.18  Z = -0.0
X = -0.98  Y = 0.17  Z = -0.0
X = -0.98  Y = 0.16  Z = -0.0
X = -0.98  Y = 0.16  Z = -0.0
X = -0.98  Y = 0.15  Z = -0.0
X = -0.98  Y = 0.14  Z = -0.0
X = -0.98  Y = 0.14  Z = -0.0
X = -0.99  Y = 0.13  Z = -0.0
X = -0.99  Y = 0.12  Z = -0.0
X = -0.99  Y = 0.11  Z = -0.0
X = -0.99  Y = 0.11  Z = -0.0
X = -0.99  Y = 0.1  Z = -0.0
X = -0.99  Y = 0.09  Z = -0.0
X = -0.99  Y = 0.09  Z = -0.0
X = -0.99  Y = 0.08  Z = -0.0
X = -0.99  Y = 0.07  Z = -0.0
X = -0.99  Y = 0.06  Z = -0.0
X = -0.99  Y = 0.06  Z = -0.0
X = -0.99  Y = 0.05  Z = -0.0
X = -0.99  Y = 0.04  Z = -0.0
X = -0.99  Y = 0.04  Z = -0.0
X = -0.99  Y = 0.03  Z = -0.0
X = -0.99  Y = 0.02  Z = -0.0
X = -1.0  Y = 0.01  Z = -0.0
X = -1.0  Y = 0.01  Z = -0.0
X = -1.0  Y = -0.0  Z = -0.0
X = -1.0  Y = -0.01  Z = -0.0
X = -1.0  Y = -0.01  Z = -0.0
X = -1.0  Y = -0.02  Z = -0.0
X = -1.0  Y = -0.03  Z = -0.0
X = -1.0  Y = -0.04  Z = -0.0
X = -1.0  Y = -0.04  Z = -0.0
X = -0.99  Y = -0.05  Z = -0.0
X = -0.99  Y = -0.06  Z = -0.0
X = -0.99  Y = -0.06  Z = -0.0
X = -0.99  Y = -0.07  Z = -0.0
X = -0.99  Y = -0.08  Z = -0.0
X = -0.99  Y = -0.09  Z = -0.0
X = -0.99  Y = -0.09  Z = -0.0
X = -0.99  Y = -0.1  Z = -0.0
X = -0.99  Y = -0.11  Z = -0.0
X = -0.99  Y = -0.12  Z = -0.0
X = -0.99  Y = -0.12  Z = -0.0
X = -0.99  Y = -0.13  Z = -0.0
X = -0.99  Y = -0.14  Z = -0.0
X = -0.99  Y = -0.14  Z = -0.0
X = -0.99  Y = -0.15  Z = -0.0
X = -0.99  Y = -0.16  Z = -0.0
X = -0.98  Y = -0.16  Z = -0.0
X = -0.98  Y = -0.17  Z = -0.0
X = -0.98  Y = -0.18  Z = -0.0
X = -0.98  Y = -0.19  Z = -0.0
X = -0.98  Y = -0.19  Z = -0.0
X = -0.98  Y = -0.2  Z = -0.0
X = -0.98  Y = -0.21  Z = -0.0
X = -0.98  Y = -0.21  Z = -0.0
X = -0.97  Y = -0.22  Z = -0.0
